date,location,lat,lon,temp_max,temp_min,precipitation
2026-03-15,Brebes,-7.057149621100939,108.92941567696354,32.2,24.1,9.3
2026-03-16,Brebes,-7.057149621100939,108.92941567696354,30.9,24.2,6.5
2026-03-17,Brebes,-7.057149621100939,108.92941567696354,31.5,23.8,7.5
2026-03-18,Brebes,-7.057149621100939,108.92941567696354,31.9,22.9,0.3
2026-03-19,Brebes,-7.057149621100939,108.92941567696354,33.1,23.3,7.2
2026-03-20,Brebes,-7.057149621100939,108.92941567696354,31.1,24.3,12.9
2026-03-14,Cilacap,-7.487992633759983,108.88809033241158,33.8,23.4,11.9
2026-03-15,Cilacap,-7.487992633759983,108.88809033241158,32.4,24.7,8.4
2026-03-16,Cilacap,-7.487992633759983,108.88809033241158,32.2,24.6,11.2
2026-03-17,Cilacap,-7.487992633759983,108.88809033241158,33.2,24.4,0.0
2026-03-18,Cilacap,-7.487992633759983,108.88809033241158,33.2,23.8,0.0
2026-03-19,Cilacap,-7.487992633759983,108.88809033241158,32.9,24.6,6.0
2026-03-20,Cilacap,-7.487992633759983,108.88809033241158,31.8,24.9,3.0
2026-03-14,Demak,-6.9137636607728306,110.62577563577298,28.6,26.6,4.9
2026-03-15,Demak,-6.9137636607728306,110.62577563577298,28.7,26.7,8.9
2026-03-16,Demak,-6.9137636607728306,110.62577563577298,28.4,26.6,9.2
2026-03-17,Demak,-6.9137636607728306,110.62577563577298,29.2,26.3,7.2
2026-03-18,Demak,-6.9137636607728306,110.62577563577298,28.9,26.2,0.5
2026-03-19,Demak,-6.9137636607728306,110.62577563577298,29.3,26.7,7.2
2026-03-20,Demak,-6.9137636607728306,110.62577563577298,29.1,26.1,2.5
2026-03-14,Grobogan,-7.1160879232759955,110.92715931060417,32.5,23.9,0.8
2026-03-15,Grobogan,-7.1160879232759955,110.92715931060417,31.4,24.5,8.6
2026-03-16,Grobogan,-7.1160879232759955,110.92715931060417,31.0,24.7,4.8
2026-03-17,Grobogan,-7.1160879232759955,110.92715931060417,32.9,24.4,8.4
2026-03-18,Grobogan,-7.1160879232759955,110.92715931060417,33.1,24.1,1.2
2026-03-19,Grobogan,-7.1160879232759955,110.92715931060417,32.4,24.7,5.4
2026-03-20,Grobogan,-7.1160879232759955,110.92715931060417,33.2,24.2,5.7
